#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_01               0.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         5.362547e-08         5.975981e-11         
run_02               0.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         1.041739e-09         1.219387e-12         
run_03               0.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         6.338750e-11         6.289744e-14         
run_04               0.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         3.934406e-12         3.960698e-15         
run_05               0.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         3.924300e-16         3.853083e-19         
run_06               1.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         5.290797e-08         5.647330e-11         
run_07               1.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         1.028488e-09         1.037127e-12         
run_08               1.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         6.247642e-11         7.490666e-14         
run_09               1.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         3.881306e-12         4.155290e-15         
run_10               1.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         3.864700e-16         3.700097e-19         
run_11               2.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         5.083370e-08         5.189130e-11         
run_12               2.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         9.899424e-10         1.038073e-12         
run_13               2.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         6.008740e-11         6.550365e-14         
run_14               2.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         3.725705e-12         3.509875e-15         
run_15               2.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         3.731000e-16         3.733560e-19         
run_16               3.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         4.805702e-08         4.957060e-11         
run_17               3.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         9.331767e-10         9.748086e-13         
run_18               3.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         5.665531e-11         4.529556e-14         
run_19               3.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         3.520005e-12         3.128645e-15         
run_20               3.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         3.509500e-16         3.632399e-19         
run_21               4.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         4.464955e-08         4.609947e-11         
run_22               4.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         8.652062e-10         7.685876e-13         
run_23               4.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         5.253627e-11         5.259535e-14         
run_24               4.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         3.264105e-12         3.013952e-15         
run_25               4.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         3.255100e-16         3.234857e-19         
run_26               5.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         4.079446e-08         3.903713e-11         
run_27               5.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         7.902912e-10         7.258944e-13         
run_28               5.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         4.797618e-11         4.228897e-14         
run_29               5.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         2.974905e-12         2.892268e-15         
run_30               5.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         2.972400e-16         2.685253e-19         
run_31               6.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         3.684439e-08         3.456503e-11         
run_32               6.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         7.115217e-10         6.102953e-13         
run_33               6.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         4.321410e-11         3.696521e-14         
run_34               6.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         2.681504e-12         2.483013e-15         
run_35               6.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         2.675900e-16         2.390847e-19         
run_36               7.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         3.280838e-08         2.698971e-11         
run_37               7.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         6.344913e-10         6.005786e-13         
run_38               7.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         3.853099e-11         3.328165e-14         
run_39               7.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         2.390004e-12         1.943330e-15         
run_40               7.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         2.383800e-16         2.023953e-19         
run_41               8.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         2.890830e-08         2.771135e-11         
run_42               8.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         5.588095e-10         5.364749e-13         
run_43               8.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         3.395187e-11         2.613047e-14         
run_44               8.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         2.105303e-12         1.687565e-15         
run_45               8.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         2.100200e-16         1.758705e-19         
run_46               9.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         2.519720e-08         2.145822e-11         
run_47               9.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         4.868614e-10         4.515330e-13         
run_48               9.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         2.957077e-11         2.649661e-14         
run_49               9.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         1.834583e-12         1.505247e-15         
run_50               9.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         1.832370e-16         1.674338e-19         
run_51               1.000000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.176961e-08         1.932773e-11         
run_52               1.000000e+01         2.500000e+02         2.500000e+02         2.500000e+02         4.203876e-10         3.063620e-13         
run_53               1.000000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.553268e-11         2.350300e-14         
run_54               1.000000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.583673e-12         1.368821e-15         
run_55               1.000000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.583340e-16         1.492351e-19         
run_56               1.100000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.859052e-08         1.492989e-11         
run_57               1.100000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.597387e-10         3.358393e-13         
run_58               1.100000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.182361e-11         1.686592e-14         
run_59               1.100000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.354292e-12         1.148123e-15         
run_60               1.100000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.352300e-16         1.107951e-19         
run_61               1.200000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.571493e-08         1.215375e-11         
run_62               1.200000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.041404e-10         2.358553e-13         
run_63               1.200000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.852041e-11         1.584790e-14         
run_64               1.200000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.148532e-12         9.161391e-16         
run_65               1.200000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.144330e-16         9.589368e-20         
run_66               1.300000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.317121e-08         1.018119e-11         
run_67               1.300000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.553472e-10         1.832172e-13         
run_68               1.300000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.552154e-11         1.261442e-14         
run_69               1.300000e+01         1.000000e+03         1.000000e+03         1.000000e+03         9.621617e-13         7.386444e-16         
