#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_01               0.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         1.501026e-08         1.729768e-11         
run_02               0.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         2.915710e-10         2.837586e-13         
run_03               0.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.772442e-11         1.494700e-14         
run_04               0.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         1.099702e-12         1.228500e-15         
run_05               0.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         1.098500e-16         1.027100e-19         
run_06               1.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         1.481384e-08         1.640978e-11         
run_07               1.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         2.879475e-10         3.231215e-13         
run_08               1.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.748640e-11         1.647000e-14         
run_09               1.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         1.084102e-12         1.138500e-15         
run_10               1.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         1.083500e-16         1.191700e-19         
run_11               2.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         1.424982e-08         1.556467e-11         
run_12               2.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         2.770571e-10         2.973358e-13         
run_13               2.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.680039e-11         1.738100e-14         
run_14               2.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         1.042602e-12         9.472800e-16         
run_15               2.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         1.042000e-16         1.005200e-19         
run_16               3.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         1.344333e-08         1.125307e-11         
run_17               3.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         2.612038e-10         2.017155e-13         
run_18               3.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.584638e-11         1.611500e-14         
run_19               3.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         9.836815e-13         8.134900e-16         
run_20               3.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         9.829600e-17         1.054900e-19         
run_21               4.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         1.247118e-08         1.346079e-11         
run_22               4.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         2.416148e-10         2.521679e-13         
run_23               4.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.467336e-11         1.511600e-14         
run_24               4.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         9.123214e-13         7.585900e-16         
run_25               4.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         9.087400e-17         8.080100e-20         
run_26               5.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         1.139225e-08         1.180877e-11         
run_27               5.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         2.207997e-10         1.762651e-13         
run_28               5.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.342033e-11         1.337700e-14         
run_29               5.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         8.316213e-13         8.031700e-16         
run_30               5.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         8.301400e-17         7.014800e-20         
run_31               6.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         1.027372e-08         8.947613e-12         
run_32               6.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         1.988021e-10         1.938532e-13         
run_33               6.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.207631e-11         9.798201e-15         
run_34               6.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         7.482212e-13         7.000000e-16         
run_35               6.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         7.472700e-17         5.390500e-20         
run_36               7.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         9.147510e-09         9.162856e-12         
run_37               7.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         1.771951e-10         1.722639e-13         
run_38               7.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         1.074927e-11         7.907901e-15         
run_39               7.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         6.664011e-13         6.597000e-16         
run_40               7.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         6.660800e-17         4.943100e-20         
run_41               8.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         8.076490e-09         7.967935e-12         
run_42               8.000000e+00         2.500000e+02         2.500000e+02         2.500000e+02         1.556379e-10         1.431627e-13         
run_43               8.000000e+00         5.000000e+02         5.000000e+02         5.000000e+02         9.454548e-12         7.693401e-15         
run_44               8.000000e+00         1.000000e+03         1.000000e+03         1.000000e+03         5.873710e-13         4.362300e-16         
run_45               8.000000e+00         1.000000e+04         1.000000e+04         1.000000e+04         5.861200e-17         4.437700e-20         
run_46               9.000000e+00         1.000000e+02         1.000000e+02         1.000000e+02         7.026940e-09         6.878948e-12         
